,price,priceEpsCurrentYear,priceToBook,EV/EBITDA,PB,PS,EV,EV/GP,epsForward,trailingPE
HSIC,80.86,16.881002,3.0288048,,,,,,,
HSY,226.16,27.347036,15.043235,,,,,,,
HES,151.65,20.438004,6.1528788,,,,,,,
HPE,16.25,8.044555,1.0479815,,,,,,,
HLT,136.19,29.997799,-40.508625,,,,,,,
HOLX,79.46,22.702856,4.027165,,,,,,,
HON,212.24,24.14562,8.058625,,,,,,,
HRL,46.35,24.52381,3.3599129,,,,,,,
HST,17.41,19.78409,1.8270541,,,,,,,
HWM,40.61,29.007143,5.2244954,,,,,,,
HPQ,27.59,,-9.264607,,,,,,3.66,
HUM,490.46,19.571428,3.820139,,,,,,,
HBAN,14.5,10.069444,1.3975904,,,,,,,
HII,221.55,15.071429,2.9002109,10.28,2.92,0.85,11990000000,8.751824817518248,,
IBM,145.19,15.919956,6.5386176,,,,,,,
IEX,236.7,29.294554,6.3783345,20.86,6.43,5.9,18640000000,15.03225806451613,,
IDXX,480.19,60.174187,83.72973,41.78,83.35,12.22,41080000000,21.735449735449734,,
ITW,232.31,24.740149,23.685768,19.04,23.78,4.66,78500000000,13.149078726968174,,
ILMN,206.44,88.22223,4.8151517,-9.02,4.7,6.72,33159999999,10.266253869659442,,
INCY,81.26,29.44203,4.276842,18.63,3.82,4.71,12940000000,9.656716417910447,,
IR,56.8,25.022026,2.6282911,,,,,,,
INTC,29.6,15.179487,1.222989,5.22,1.24,1.78,141230000000,3.2236932207258615,,
ICE,107.41,20.151972,2.6829696,15.74,2.69,6.31,77320000000,10.813986013986014,,
IFF,116.58,20.892473,1.7600435,-4500,1.76,2.35,40520000000,9.858880778588809,,
IP,37.54,9.931217,1.406941,6.95,1.43,0.68,18730000000,3.386980108499096,,
INTU,390.2,29.16293,6.8323092,34.95,6.88,8.44,115340000000,11.026768642447419,,
ISRG,261.73,55.451275,8.030005,,,,,,,
IVZ,19.15,11.606061,0.79951566,10.71,0.81,1.4,19640000000,8.502164502164502,,
INVH,31.63,52.716663,1.8748146,20.57,1.85,8.71,26530000000,21.74590163934426,,
IQV,221.54,21.826601,7.6982417,18.27,7.72,2.98,52550000000,11.325431034482758,,
IRM,52.32,29.559322,28.731466,15.8,28.91,3.09,27860000000,10.715384615384615,,
JBHT,176.29,18.099588,5.2073607,9.8,5.22,1.27,19460000000,9.633663366336634,,
JKHY,181.79,36.725254,9.071357,20.38,9.07,6.71,13470000000,16.542424502929006,,
J,124.45,16.840324,2.6161447,14.85,2.63,1.09,18980000000,5.6996996996997,,
DE,438.2,15.638829,6.4614115,16.51,6.45,2.6,177330000000,12.238095238095237,,
JNJ,172.36,17.150248,6.046234,15.27,6.08,4.82,451380000000,7.050609184739934,,
JCI,67.77,19.307692,2.869057,19.6,2.91,1.9,54190000000,6.497601918465228,,
JPM,140.8,10.923196,1.5594715,,,,,,,
JNPR,32.12,16.471794,2.4025729,14.33,2.39,2.05,11030000000,4.025547445255475,,
K,69.72,16.84058,5.5553784,11.98,5.58,1.61,30790000000,6.693478260869565,,
KDP,35.73,21.267857,2.0159104,16.45,2.16,4.17,67040000000,9.577142857142857,,
KEY,18.02,8.580953,1.5580149,,1.57,2.4,,,,
KEYS,184.96,23.091137,7.9137435,20.33,7.76,6.06,32270000000,9.353623188405797,,
KMB,136.86,24.30906,105.6834,17.02,105.67,2.3,54400000000,8.859934853420196,,
KIM,21.95,53.536587,1.3990694,23.46,1.36,7.72,19410000000,20.50344893151785,,
KMI,18.82,16.365217,1.3766367,,,,,,,
KLAC,415.95,16.84008,28.042204,13.42,36.29,5.9,53850000000,9.58185053380783,,
